Category-ID,Title,Subtitle,IS_FG
DA,Board ไม้,,0
DB,Edge Banding (ปิดขอบ),,0
DC,Accessories&Fitting อุปกรณ์ ประกอบ,,0
DD,Painting สี ,,0
DE,Packing บรรจุภัณฑ์ ,,0
DF,Finishing (ปิดผิว),,0
DG,Consumables วัสดุสิ้นเปลือง ,,0
DH,Office equipment วัสดุสำนักงาน,,0
DI,Equipment อุปกรณ์ เครื่องมือ,,0
DJ,Stainless steel สแตนเลส ,,0
DK,Aluminium อลูมิเนียม,,0
DL,Electricity (อุปกรณ์ไฟฟ้า),,0
DM,Plumbing (อุปกรณ์ประปา),,0
DN,Buy into the project ซื้อเข้าโครงการ,,0
DO,Damaged item ของ ชำรุด,,0
DP,Service free ค่าบริการ,,0
DQ,Construction ก่อสร้าง,,0
DR, Site Installation สถานที่ติดตั้ง,,0
BF,Built in Furniture,,1
LF,LoosFurniture,,1
FC,FavChair,,1
BW,Burger Wall(ผนัง),,1
FB,FavBoy,,1
Or,Out of Order,,1
