SLUG,TITLE,SUBTITLE,CATEGORY_ID,IS_FG
DA0001,ไม้HDF4mm,เปลือย1870x2450mm.,1,0
DA0002,ไม้HDF4mm,เปลือย2450x3010mm.,1,0
DA0003,ไม้HDF4mm,เปลือย1200x2400mm.,1,0
DA0004,ไม้HDF4mm,เปลือย1200x1880mm.,1,0
DA0005,ไม้HMR4mm,เปลือย1200x2400mm.,1,0
DA0006,ไม้HMR6mm,เปลือย1200x2400mm.,1,0
DA0007,ไม้HMR6mm,เปลือย1020x3000mm,1,0
DA0008,ไม้HMR9mm,เปลือย1200x2400mm.,1,0
DA0009,ไม้HMR12mm,เปลือย1200x2000mm.,1,0
DA0010,ไม้HMR12mm,เปลือย1200x2400mm.,1,0
DA0011,ไม้HMR15mm,เปลือย1200x2400mm.,1,0
DA0012,ไม้HMR18mm,เปลือย1200x2400mm.,1,0
DA0013,ไม้HMR25mm,เปลือย1200x2400mm,1,0
DA0014,ไม้HMR36mm,เปลือย1200x2400mm.(ไม้เบิ้ล),1,0
DA0015,ไม้MDF3mm,เปลือย1200x2400mm.,1,0
DA0016,ไม้MDF4mm,เปลือย1200x2400mm.,1,0
DA0017,ไม้MDF12mm.,เปลือย1200x2400mm.,1,0
DA0018,ไม้MDF18mm,เปลือย1200x2400mm.,1,0
DA0019,ไม้อัดยางPW20mm.,เปลือย1200x2400mm.,1,0
DA0020,ไม้อัดดัดโค้ง4mm,เปลือย1200x2400mm.,1,0
DA0021,ไม้อัดดัดโค้ง5mm,เปลือย1200x2400mm.,1,0
DA0022,ไม้พลาสวู้ด3mm,เปลือย1200x2400mm.,1,0
DA0023,ไม้พลาสวู้ด6mm,เปลือย1200x2400mm.,1,0
DA0024,ไม้พลาสวู้ด9mm,เปลือย1200x2400mm.,1,0
DA0025,ไม้พลาสวู้ด12mm,เปลือย1200x2400mm.,1,0
DA0026,ไม้พลาสวู้ด15mm,เปลือย1200x2400mm.,1,0
DA0027,ไม้พลาสวู้ด20mm,เปลือย1200x2400mm.,1,0
DA0028,ไม้พลาสวู้ดPlassWood8mm,เปลือย1200x2400mm.,1,0
DA0029,ไม้พลาสวู้ดPlassWood10mm,เปลือย1200x2400mm.,1,0
DA0030,ไม้พลาสวู้ดPlassWood18mm,เปลือย1200x2400mm.,1,0
DA0031,ไม้พลาสวู้ดPlassWood5mm,เปลือย1200x2400mm.,1,0
DA0032,ไม้พลาสวู้ดPlassWood25mm,เปลือย1200x2400mm.,1,0
DA0033,ไม้อัดยางPW4mm,เปลือย1200x2400mm.,1,0
DA0034,ไม้สนนิวซีแลนด์50mm,เปลือย,1,0
DA0035,ไม้อัดยางพารางประสาน25mm,เปลือย,1,0
DA0036,ไม้อัดยางPW10mm,เปลือย1200x2400mm.,1,0
DA0037,ไม้อัดยางPW15mm,เปลือย1200x2400mm.,1,0
DA0038,ไม้อัดยางดัดโค้ง4mm,เปลือย1200x2400mm.,1,0
DA0039,ไม้โอ๊คท่อน30mm,เปลือย175x3080mm.,1,0
DA0040,ไม้อัดยางPW6mm,เปลือย1200x2400mm.,1,0
DA0041,ไม้อัดโอ๊ค1200x2400mm.,,1,0
DA0042,บล็อคบอร์ด20mm,เปลือย,1,0
DA0043,ไม้อัดยางพารางประสาน20mm,เปลือย1200x2400mm.,1,0
DA0044,ไม้อัดยางPW8mm,เปลือย1200x2400mm,1,0
DA0045,ไม้MDF15mm,เปลือย1200x2400mm,1,0
DA0046,ไม้MDF19mm,เปลือย1200x2400mm,1,0
DA0047,ไม้MDF6mm,เปลือย1200x2400mm,1,0
DA0048,แผ่นPlasmaBoard15mm,เปลือย1200x2400mm.,1,0
DA0049,แผ่นPlasmaBoard18mm,เปลือย1200x2400mm.,1,0
DA0050,แผ่นSPC4mm,เปลือย950x3000mm.,1,0
DC0061,Oak Wood,Unfinished 1200x2400mm.,2,0
DC0062,Maple Wood,Unfinished 1500x3000mm.,2,0
DC0063,Cherry Wood,Unfinished 1800x3600mm.,2,0
DC0064,Walnut Wood,Unfinished 2000x4000mm.,2,0
DC0065,Birch Wood,Unfinished 2200x4400mm.,2,0
DC0066,Teak Wood,Unfinished 2400x4800mm.,2,0
DC0067,Poplar Wood,Unfinished 2600x5200mm.,2,0
DC0068,Redwood,Unfinished 2800x5600mm.,2,0
DC0069,White Pine,Unfinished 3000x6000mm.,2,0
DC0070,Blackwood,Unfinished 3200x6400mm.,2,0
