CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0001,เฟอร์นิเจอร์สกรู  หัวF3.5x-1/2-(L10mm) - สีรุ้ง -,,DAIJAI,,0,500,1000,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0002,เฟอร์นิเจอร์สกรู  หัวF4x1-1/2-(L38mm) - สีรุ้ง -,,DAIJAI,,0,500,1000,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0003,เฟอร์นิเจอร์สกรู  หัวF4x1-3/4-(L45mm) - สีรุ้ง -,,DAIJAI,,0,5000,3000,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0004,เฟอร์นิเจอร์สกรู  หัวF4x1-L25mm) - สีรุ้ง -,,DAIJAI,,0,5000,3000,2000,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0005,เฟอร์นิเจอร์สกรู  หัวF4x5/8-(L16mm) - นิกเกิล -,,DAIJAI,,0,5000,3000,15400,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0006,เฟอร์นิเจอร์สกรู  หัวF6x1/2-(L12mm) FSF-612NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,,0,5000,3000,21500,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0007,เฟอร์นิเจอร์สกรู  หัวF6x1-1/2-(L38mm) FSF-6112NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,,0,5000,50000,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0008,เฟอร์นิเจอร์สกรู  หัวF6x3/8-(L10mm) FSF-638NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,,0,5000,50000,8700,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0009,เฟอร์นิเจอร์สกรู  หัวF6x5/8-(L16mm) FSF-658NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,,0,5000,50000,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0010,เฟอร์นิเจอร์สกรู  หัวF7x1-(L25mm) FSF-710NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.25,0,5000,50000,26300,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0011,เฟอร์นิเจอร์สกรู  หัวF7x1/2-(L12.7mm) นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,,0,5000,50000,11100,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0012,เฟอร์นิเจอร์สกรู  หัวF7x1-1/2-(L38mm) FSF-7112NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.35,0,5000,50000,43100,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0013,เฟอร์นิเจอร์สกรู  หัวF7x1-1/4-(L32mm) FSF-7114NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.30,0,5000,50000,26400,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0014,เฟอร์นิเจอร์สกรู  หัวF7x2-(L50mm) FSF-720NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.45,0,5000,50000,11185,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0015,เฟอร์นิเจอร์สกรู  หัวF7x3/4-(L19mm) FSF-734NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.20,0,5000,50000,20000,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0016,เฟอร์นิเจอร์สกรู  หัวF7x5/8-(L16mm) FSF-758NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.17,0,5000,50000,26150,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0017,เฟอร์นิเจอร์สกรู  หัวF8x1-(L25mm) FSF-810NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.20,0,5000,50000,8800,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0018,เฟอร์นิเจอร์สกรู  หัวF8x1-1/2-(L38mm) FSF-8112NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,,0,5000,50000,800,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0019,เฟอร์นิเจอร์สกรู  หัวF8x1-1/4-(L32mm) FSF-8114NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,,0,5000,50000,4900,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0020,เฟอร์นิเจอร์สกรู  หัวF8x2-(L50mm) FSF-820NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,,0,2000,10000,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0021,เฟอร์นิเจอร์สกรู  หัวF8x3-(L75mm) FSF-830NI นิกเกิล -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.86,0,2000,10000,29900,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0022,เฟอร์นิเจอร์สกรู  หัวP7x5/8-(L16mm) - นิกเกิล -,,DAIJAI,,0,100,1000,600,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0023,เฟอร์นิเจอร์สกรู  หัวร่ม3.5x-1/2-(L13mm) - นิกเกิล -,,DAIJAI,,0,100,1000,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0024,เฟอร์นิเจอร์สกรู  หัวร่ม3.5x-1-1/8-(L28mm) - นิกเกิล -,,DAIJAI,,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0025,เดือยไม้ - 6x30mm,,ชิดาวัลย์ กิมะวงศ์ดาชัย,0.25,0,10000,50000,1708,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0026,เดือยไม้ - 7.8x30mm.,,ชิดาวัลย์ กิมะวงศ์ดาชัย,0.25,0,10000,50000,29380,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0027,เดือยไม้ - 7.8x40mm,,ชิดาวัลย์ กิมะวงศ์ดาชัย,0.25,0,10000,50000,400,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0028,เดือยไม้ - 7.9x35mm.,,ชิดาวัลย์ กิมะวงศ์ดาชัย,0.25,0,10000,50000,5043,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0029,เดือยไม้ - 8x30mm.,,ชิดาวัลย์ กิมะวงศ์ดาชัย,0.25,0,10000,50000, -   ,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0030,เดือยไม้ - 8x50mm,,ชิดาวัลย์ กิมะวงศ์ดาชัย,,0,10000,50000,2100,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0031,เดือยไม้ - 9.8x30mm,,ชิดาวัลย์ กิมะวงศ์ดาชัย,0.32,0,10000,50000,28500,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0032,เดือยไม้ - 9.8x40mm ,,ชิดาวัลย์ กิมะวงศ์ดาชัย,0.32,0,10000,50000,25850,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0033,เดือยไม้ - 9.8x50mm,,ชิดาวัลย์ กิมะวงศ์ดาชัย,,0,10000,50000,2080,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0034,เดือยไม้ - 10x30mm,,ชิดาวัลย์ กิมะวงศ์ดาชัย,,0,10000,50000,62110,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0035,เดือยไม้ - 10x60mm,,ชิดาวัลย์ กิมะวงศ์ดาชัย,,0,10000,50000,3140,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0036,เดือยล็อคแบบซ่อน-HS-019 ดำ+เงิน,,เวลพลัส ฟิตติ้ง จำกัด,2.25,0,1000,50000,2905,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0037,เหล็กฉากรุ่นกว้าง15mm-15x30x2mm SA-1530Y สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,3.20,0,500,2000,4954,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0038,เหล็กฉากรุ่นกว้าง20mm-20x20x2mm SA-2020Y สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,3.00,0,500,2000,2608,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0039,เหล็กฉากรุ่นกว้าง20mm-20x30x2mm SA-2030Y สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,4.00,0,500,2000, -   ,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0040,เหล็กฉากรุ่นกว้าง20mm-20x40x2mm SA-2040Y สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,4.50,0,500,2000,4142,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0041,เหล็กฉากรุ่นกว้าง20mm-20x60x2mm SA-2060Y สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,6.00,0,500,2000,1876,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0042,เหล็กฉากรุ่นกว้าง-30x30x2mm SA-4BY สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,4.80,0,500,2000,3144,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0043,เหล็กฉาก6รู-32x25x2mm SA-6HN-Y สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,3.50,0,500,2000,380,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0044,เหล็กฉาก4รู รุ่นหนา-40x21.5x2mm SA-4HY สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด, -   ,0,500,2000,3764,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0045,เหล็กฉากรุ่นกว้าง-40x40x2mm SA-4CY สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,7.00,0,500,2000,531,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0046,เหล็กฉากรุ่นกว้าง-60x60x2mm - สีรุ้ง -,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,14.00,0,500,2000,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0047,เหล็กฉากรุ่นกว้าง-40x40x2mm - สีแดง -,,DAIJAI, -   ,0,,,756,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0048,เหล็กฉาก-ผีเสื้อ สีแดง -,,DAIJAI, -   ,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0049,เหล็กฉากยึดหัวเตียง - สีรุ้ง -,,HAFELE, -   ,0,,,190,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0050,บานพับในขอบเฟรมอลูมิเนียมแบบแคบ สีนิกเกิ้ลดำเงา HA#315.26.712,,HAFELE,164.78,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0051,ฐานรองบานพับ สีนิกเกิ้ลเงาดำ HA#306.00.005,,HAFELE,9.45,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0052,ฝาครอบแขนบานพับ สีนิกเกิ้ลเงาดำ HA#315.59.024,,HAFELE,3.15,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0053,บานพับทับขอบเฟรมอลูมิเนียมแบบแคบ สีนิกเกิ้ลดำเงา HA#315.26.710,,HAFELE,164.78,0,,,8,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0054,บานพับถ้วยเปิด 107ºริมทับขอบ สีนิกเกิล BLUM#75B1550,,บลู อินเตอร์เนชั่นแนล จำกัด,135.00,0,,,75,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0055,บานพับถ้วย Ø35mm - 107° กลางทับขอบ-สีเงิน BLUM#75B1650,,บลู อินเตอร์เนชั่นแนล จำกัด,145.00,0,,,26,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0056,บานพับถ้วยเปิด 107ºในขอบ สีนิกเกิล BLUM#75B1750,,บลู อินเตอร์เนชั่นแนล จำกัด,147.00,0,,, -   ,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0057,ปุ่มกดกระเด้งหัวยาง แกนยาว สีเทา BLUM#R736.956A1006,,บลู อินเตอร์เนชั่นแนล จำกัด,181.00,0,,,117,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0058,ปุ่มกดกระเด้งหัวยาง แกนยาว สีขาว BLUM#SEIW.956A1006,,บลู อินเตอร์เนชั่นแนล จำกัด,181.00,0,,, -   ,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0059,บานเปิดขึ้น 3.15 หน้าบานเปิดฝาปิดครอบสีขาว HA#372.91.732,,HAFELE,3672.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0060,เกือกม้า(ลำตัวมีฟัน)ระบบล็อคหลายจังหวะ นิกเกิล 15x12.5mm PS#EXHT-15125NI,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,1.30,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0061,แกนเกือกม้าเกลียวหยาบ- สีน้ำตาล 34mm PS#FCW-34,,แพนสยาม แมนูแฟคเจอริ่ง จำกัด,0.55,0,,,6220,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0062,บานพับริมทับขอบ107องศาปิดนุ่มนวล สีOnyx Black BLUM#รหัส ONS.75B1550,,บลู อินเตอร์เนชั่นแนล จำกัด,,0,,,45,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0063,ฝาปิดบานพับ ทับขอบ สีOnyx Black BLUM# รหัส ONS.70.1503,,บลู อินเตอร์เนชั่นแนล จำกัด,,0,,, -   ,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0064,บานพับกลางขอบ 107องศา ปิดนุ่มนวล สีOnyx Black BLUM#รหัส ONS.75B1650,,บลู อินเตอร์เนชั่นแนล จำกัด,,0,,,3,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0065,ฝาปิดบานพับ กลางขอบ สี Onyx black BLUM#รหัส ONS.70.1663,,บลู อินเตอร์เนชั่นแนล จำกัด,,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0066,ฐานรองตรง H8.5/20/32 รหัส BLUM#ONS.175H3100,,บลู อินเตอร์เนชั่นแนล จำกัด,,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0067,ฝาครอบถ้วยบานพับโลหะ สีOnyx black รหัส BLUM#ONS.70T3504,,บลู อินเตอร์เนชั่นแนล จำกัด,11.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0068,ว่าง,,,,0,,,800,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0069,ฐานรองปีก H8.5/37/32 BLUM#173L6100,,บลู อินเตอร์เนชั่นแนล จำกัด,9.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0070,ฝาครอบถ้วยบานพับโลหะสีเงินรหัส BLUM#70T3504,,บลู อินเตอร์เนชั่นแนล จำกัด,7.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0071,ฝาปิดขาบานพับ สีนิกเกิ้ล  BLUM#รหัส 70.1503,,บลู อินเตอร์เนชั่นแนล จำกัด,5.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0072,รางสองตอน MOVENTO L5000mm (รางลิ้นชักรับใต้ Soft Close) BLUM#760H5000S,,บลู อินเตอร์เนชั่นแนล จำกัด,1363.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0073,MOVENTO ตัวล็อกกล่องลิ้นชักสีส้ม ด้านขวา BLUM#T51.7601R,,บลู อินเตอร์เนชั่นแนล จำกัด,75.00,0,,,20,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0074,MOVENTO ตัวล็อกกล่องลิ้นชักสีส้ม ด้านขวา BLUM#T51.7601L,,บลู อินเตอร์เนชั่นแนล จำกัด,75.00,0,,,20,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0075,รางสองตอน MOVENTO L2500mm (รางลิ้นชักรับใต้ Soft Close) BLUM#760H2500S,,บลู อินเตอร์เนชั่นแนล จำกัด,1318.00,0,,,,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0076,บานพับถ้วย Ø35mm.ทับขอบ SOFT CLOSE+ฐานรอง GP#CH-609-0,,แกรนด์ ปีรามิด จำกัด,15.00,0,,,789,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0077,บานพับถ้วย Ø35mm. กลางขอบ SOFT CLOSE+ฐานรอง GP#CH609-8,,แกรนด์ ปีรามิด จำกัด,13.00,0,,,125,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0078,บานพับถ้วย Ø35mm ในขอบ SOFT CLOSE+ฐานรอง GP#CH609-15,,แกรนด์ ปีรามิด จำกัด,15.00,0,,,439,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0079,บานพับข้อเสือ 22mm รับน้ำหนัก 40 kg 22x25x150mm สีดำ FI#SH-3D-40,,ฟิวเจอร์เทค อินเตอร์มาร์เก็ตติ้ง จำกัด,975.00,0,,, -   ,,,,,,,,,,,,,,,
DC,Acc&Fitting,DC0080,บานพับข้อเสือ 24mm รับน้ำหนัก 60 kg 24x30x140mm สีดำ FI#SH-140,,ฟิวเจอร์เทค อินเตอร์มาร์เก็ตติ้ง จำกัด,1125.00,0,,,32,,,,,,,,,,,,,,,
