CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DD,Painting ,DD0001,สีสเปรย์ อเนกประสงค์-KOBE#912 ดำด้าน 400 CC,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),41.12,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0002,สีสเปรย์ อเนกประสงค์-KOBE#900 ขาว 400 CC,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),41.12,0,,,31,,,,,,,,,,,,,,,
DD,Painting ,DD0003,สีสเปรย์ อเนกประสงค์-KOBE#918 เหลือง 400 CC,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),41.12,0,,,39,,,,,,,,,,,,,,,
DD,Painting ,DD0004,สีสเปรย์ อเนกประสงค์-KOBE#955 FERRARI RED 400 CC,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),41.12,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0005,สีสเปรย์ อเนกประสงค์-KOBE#911 แดง 400 CC,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),41.12,0,,,38,,,,,,,,,,,,,,,
DD,Painting ,DD0006,แปรงทาสีขนเคมี1 นิ้ว,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,20.00,0,,,30,,,,,,,,,,,,,,,
DD,Painting ,DD0007,แปรงทาสีขนเคมี2 นิ้ว,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,40.00,0,,,8,,,,,,,,,,,,,,,
DD,Painting ,DD0008,แปรงทาสีขนเคมี4 นิ้ว,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,105.00,0,,,14,,,,,,,,,,,,,,,
DD,Painting ,DD0009,พู่กันจีนด้ามไม้,,ห้างหุ้นส่วนจำกัด ภัทร สตีลเซ็นเตอร์,15.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0010,ทินเนอร์PU-TOA#1125 15 KG,,ทีโอเอ-ยูเนี่ยน เพ้นท์ (ประเทศไทย) จำกัด,1595.00,0,,,10,,,,,,,,,,,,,,,
DD,Painting ,DD0011,สีหมึกย้อมไม้ สีขาว(904) 990g,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,170.00,0,,,19,,,,,,,,,,,,,,,
DD,Painting ,DD0012,"กระดาษกาวนิตโต้ 1"" กว้าง18mmx3/4",,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,100.00,0,,,4,,,,,,,,,,,,,,,
DD,Painting ,DD0013,แชล็คขาว มหาชัย แบบผง,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,550.00,0,,,13,,,,,,,,,,,,,,,
DD,Painting ,DD0014,เมทานอลแอลกอฮอล์-Ocean 11L,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,260.00,0,,,8,,,,,,,,,,,,,,,
DD,Painting ,DD0015,ทินเนอร์-Ocean 3A-11.7L,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,630.00,0,,,29,,,,,,,,,,,,,,,
DD,Painting ,DD0016,สีพ่นอุตสาหกรรม-กึ่งเงา เบสD 3.5L TOA#K7025,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด,735.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0017,สีพ่นอุตสาหกรรม-กึ่งเงา เบสA 3.5L TOA#K7029,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด,645.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0018,สีพ่นอุตสาหกรรม-กึ่งเงา เบสA 3.5L TOA#N6436,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด ,660.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0019,สีพ่นอุตสาหกรรม-เงา BLACK 3.5L TOA#814,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด ,620.00,0,,,8,,,,,,,,,,,,,,,
DD,Painting ,DD0020,แลคเกอร์แซนดิ้ง ซีลเลอร์ 18.925L TOA#T5555,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด ,2050.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0021,สีพ่นอุตสาหกรรม-ด้าน เบสD 3.5L Beger#140-5,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด ,580.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0022,สีพ่นอุตสาหกรรม-ด้าน เบสA 3.5L Beger#140-1,,เวก้า เพ้นท์ แอนด์ คอนแมท จำกัด ,530.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0023,สีสเปร์ย RED FOX สีกัลวาไนซ์,,เสริมไพศาล,46.66,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0024,กาวยางพ่น SS-05 ขนาด 160 KG.,,เอ็มพีพียูนิตี้โปรดักส์ จำกัด,14000.00,0,,,0,,,,,,,,,,,,,,,
DD,Painting ,DD0025,ดินสอพอง 1 กิโลกรัม,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,10.00,0,,,5,,,,,,,,,,,,,,,
DD,Painting ,DD0026,รอ เปลี่ยน,,,,0,,,0,,,,,,,,,,,,,,,
