CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DE,Packing,DE0001,ฟิล์มยืดพันพาเลท 15 ไมครอน--- สีใส - 15x15x50cmxL300M,,สยาม-แพ็ค ซัพพลาย จำกัด,160.00,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0002,กระดาษฉาก --- สีธรรมชาติ - (40x40x5x1500mm),,ธิปทอป แพคกิ้งเมท อุตสาหกรรม จำกัด,114.00,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0003,โฟมกันกระแทก2mm-- สีขาว - 2x1300x1500mm.,,จีเทคโปรดักส์ จำกัด,1150.00,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0004,"กระดาษลูกฟูก 2ชั้น--- - - 48""",,ตั้งพัฒนา กระดาษลูกฟูก จำกัด,758.50,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0005,"กระดาษกาวย่น2"" 48mmx40Y",,บีแอนด์บี โซลิเมค จำกัด,28.00,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0006,"สก็อตเทปใส2"" 48mmx100Y",,ที.เอส.ที.อินเตอร์ โปรดักส์ จำกัด,17.50,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0007,"โฟมแผ่น 1ปอนด์-- - - 12.7x1200x2400mm(4""x8"")",,ปิยะกิจ โฟมสยาม จำกัด,74.00,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0008,เทปกาว 2 หน้า--- - - 24mmx20Y,,,,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0009,กระดาษลูกฟูก 2ชั้น แบบแผ่น,,,,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0010,ทีรีดฟิล์ม 3M ขนาด 70x100mm,,,,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0011,ฟิล์มกันลอย Protection 50micx1250mx200m (AM330GA) สีใส,,สยาม-แพ็ค ซัพพลาย จำกัด,4750.00,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0012,ฟิล์มกันรอย Protective Tape BW100EP 400gf. ขนาด 1250mm x 200M.,,สยาม-แพ็ค ซัพพลาย จำกัด,4700.00,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0013,"กระดาษกาวย่น1""-- - - 48mmx100Y",,,,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0014,"กระดาษกาวย่น1""-- - - 18mmx18M",,,,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0015,"กระดาษกาวย่น2""-- สีเขียว - 2""x8Y",,,,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0016,"กระดาษกาวย่น2""-- สีแดง - 2""x8Y",,,,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0017,สายรัดเหล็ก--- - - -,,,,0,,,,,,,,,,,,,,,,,,
DE,Packing,DE0018,โฟมกันกระแทก2mm-- สีขาว - 1.5x1300x1500mm.,,สยาม-แพ็ค ซัพพลาย จำกัด,945.00,0,,,,,,,,,,,,,,,,,,
