CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DF,Finishing,Matierial-ID,Material-Name,Material-Info,Supplier, Price ,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0001,"ลามิเนต SIAM PAPER HPL-208PE 1230x2440mm (4""x8"")",19054 Showroom-เอกมัย,,600.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0002,"ลามิเนต SIAM PAPER HPL-407PE 1230x2440mm (4""x8"")",19054 Showroom-เอกมัย,,600.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0003,"ลามิเนต 0.8mm-ลามิเนต HPL ER 9470ET - 1200x2400mm (4""x8"")",23017 บ้านเชียงใหม่,อีดีแอล ลามิเนตส์ จำกัด,1900.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0004,"ลามิเนต 0.8mm-ลามิเนต HPL EMB 2718 - 1200x2400mm (4""x8"")",23017 บ้านเชียงใหม่ > แก้ไขหน้าบาน,อีดีแอล ลามิเนตส์ จำกัด,5150.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0005,"ลามิเนต 0.7mm-ลามิเนต HPL G33720 - 1230x2240mm-MT (4""x8"")",23021 Miracle Grand,,840.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0006,"ลามิเนต 0.7mm-ลามิเนต HPL 608000 - 1230x2240mm-PE (4""x8"")",23022 Miracle Grand,,600.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0007,"ลามิเนต 0.8mm-ลามิเนต HPL D91-SK - 1200x2400mm (4""x8"")",22047 โครงการบ้านนันทวัน,,1000.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0008,"ลามิเนต 0.7mm-ลามิเนต HPL SCA1136DA - 1200x2400mm. (4""x8"")",23003-10 DOORS,ทีเอเค โพรดัคส์ แอนด์ เซอร์วิสเซส จำกัด,890.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0009,"ลามิเนต 0.9mm-ลามิเนต HPL EC901H-MH - 1200x2400mm. (4""x8"")",23003-3 BUILT FURNITURE,ดับเบิ้ลยูจี,6800.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0010,"ลามิเนต 0.8mm-ลามิเนต PP 0927 UN - 0.8x1200x2400mm (4""x8"")",23003-3 BUILT FURNITURE,รุ่งสมบัติ (2528) จำกัด,790.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0011,"ลามิเนต 0.8mm-ลามิเนต PP 2010 UN - 1200x2400mm. (4""x8"")",23003-3 BUILT FURNITURE,รุ่งสมบัติ (2528) จำกัด,740.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0012,"ลามิเนต 0.8mm-ลามิเนต PP 8841 D8 - 1200x2400mm. (4""x8"")",23003-3 BUILT FURNITURE,รุ่งสมบัติ (2528) จำกัด,1160.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0013,ลามิเนต 0.6mm-ลามิเนต HPL H-PW200P1105 - 1200x2400mm.,003 STORE POF230621-010,พอร์ท 09 จำกัด,200.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0014,ลามิเนต 0.7mm-ลามิเนต HPL H-CDZ5381 - 1200x2400mm.,23003-3 BUILT FURNITURE,พอร์ท 09 จำกัด,1028.04,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0015,ลามิเนต 0.8mm-ลามิเนต AP AP-5018-VC - 1200x2400mm.,23003-3 BUILT FURNITURE,รุ่งสมบัติ (2528) จำกัด,1085.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0016,"ลามิเนต 0.7mmลามิเนต HPLD36330-070-SN-0.7x1230x2400mm (4""x8"")",23021 Miracle Grand,สยาม เปเปอร์ เดคคอร์,910.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0017,"ลามิเนต 0.7mm ลามิเนต HPL-A35740-0.7x1230x2400mm (4""x8"")",23021 Miracle Grand,สยาม เปเปอร์ เดคคอร์,910.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0018,ลามิเนต 0.7mmลามิเนต HPL708000,23020 - 5 BUILT-IN FURNITURE > ห้องกำแพงเพชร,สยาม เปเปอร์ เดคคอร์,600.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0019,"ลามิเนต 0.7mm-ลามิเนต HPLWGA8528 - 0.7x1200x2400mm. (4""x8"")",,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0020,"ลามิเนต 0.7mm-ลามิเนต HPL9470 - 1200x2400 (4""x8"")",,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0021,"ลามิเนต สแตนเลสO2 0.9mm- ลามิเนต HPL AL 805B-MR 0.9x1200x2400mm. (4""x8"")",22047 โครงการบ้านนันทวัน POF231003-020,ดับเบิ้ลยูจี จำกัด,6150.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0022,ลามิเนต สีดำ 1108,,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0023,ลามิเนต สีดำ 1109,,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0024,ลามิเนต 0.7mm-ลามิเนต HPL WYA5263E 1 ลายไม้ - 0.7x1200x2400mm.,,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0025,ลามิเนต 0.7mm-ลามิเนต HPL DXP 1360 - 0.7x1200x2400mm.,,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0026,"ลามิเนต 0.7mm-ลามิเนต SM9657M 1200x2400 (4""x8"")",,รุ่งสมบัติ (2528) จำกัด,645.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0027,"ลามิเนต สีดำ ผิวส้ม 1200x2400 (4""x8"")",,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,400.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0028,"ลามิเนต 0.8 EMM2740 Silver Matt 0.8x1200x2400mm. (4""x8"")",,อีดีแอล ลามิเนตส์ จำกัด, 3112.5 /25% ,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0029,"ลามิเนต 1.0mm-ลามิเนต HPL8145 TX 1.0x1200x2400mm.(4""x8"")",,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0030,"ลามิเนต 0.8mm-ลามิเนต PP/AP 5018 VC - 0.8x1200x2400 (4""x8"")",,รุ่งสมบัติ (2528) จำกัด,1085.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0031,"ลามิเนต 0.7mm-ลามิเนต Wilsonart  NO.8330 UM 335 0.7x1200x2400mm.(4""x8"")",,รุ่งสมบัติ (2528) จำกัด,1088.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0032,ซ้ำ,,รุ่งสมบัติ (2528) จำกัด,1088.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0033,"ลามิเนต 1.0mm-ลามิเนต Wilsonart NO.D354M 1.0x1200x2400mm.(4""x8"")",,รุ่งสมบัติ (2528) จำกัด,784.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0034,"ลามิเนต 1.0mm-ลามิเนต Wilsonart NO.4703 1.0x1200x3600mm.(4""x12"")",,รุ่งสมบัติ (2528) จำกัด,1944.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0035,"ลามิเนต 1.0mm-ลามิเนต Wilsonart NO.4474 1.0x1200x2400mm.(4""x12"")",,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0036,"ลามิเนต 0.8mm-ลามิเนต Formica#PP-7938-UN 0.8x1200x2400mm.(4""x8"")",,,760.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0037,"ลามิเนต 0.8mm-ลามิเนต  PP-3737-UN 0.8x1200x2400mm.(4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,1000.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0038,"ลามิเนต 0.8mm-ลามิเนต  - 0.8x1200x2400mm (4""x8"")",,รุ่งสมบัติ (2528) จำกัด,980.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0039,"ลามิเนต Formica  4494 WS 1200x2400mm (4""x8"")",,รุ่งสมบัติ (2528) จำกัด,1112.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0040,"ลามิเนต 0.7mm HPLWY5244D 0.7x1200x2400mm.(4""x8"")",,ทีเอเค โพรดัคส์ แอนด์ เซอร์วิสเซส จำกัด,1015.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0041,"ลามิเนต 0.7mm BFM BM 1046  0.7x1200x2400mm.(4""x8"")",,บริษัท บี.เอฟ.เอ็ม. จำกัด,700.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0042,"ลามิเนต 0.7mm BFM BM 1035 0.7x1200x2400mm.(4""x8"")",,บริษัท บี.เอฟ.เอ็ม. จำกัด,700.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0043,"ลามิเนต 1.0mm-ลามิเนต Wilsonart NO.4280WN 1.0x1200x2400mm.(4""x8"")",,,,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0044,"ลามิเนต 0.8mm-ลามิเนต Formica#PP-7938-UN 0.8x1200x3000mm.(4""x10"")",,บริษัท ลานนาไม้อัดไทย จำกัด,1470.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0045,"ลามิเนต 0.7mm Wilsonart HPL0140-M 0.7x1200x2400mm.(4""x8"")",,บริษัท สุขสวัสดิ์ไม้อัดไทย,735.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0046,ลามิเนต Formica PP 0909 CK 1200x2400,POF240315-007 24012 REUN,,1182.24,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0047,"ลามิเนต 0.8mm LSX AS-14139 CS99 -0.8x1200x2400mm(4""x8"")",23039 รพ.สินแพทย์ บริษัท แอลเอสเอ็กซ์ จำกัด รามอินทรา ชั้น5-6,,750.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0048,"ลามิเนต 0.8mm Formica AP 0784 UN -0.8x1200x2400mm(4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,800.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0049,"ลามิเนต Formica รหัส AP 5150 D8-0.8x1200x2400mm (4""x8"")",,บริษัท ลานนาไม้อัดไทย จำกัด,1160.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0050,ลามิเนต 0.8mm Formica รหัส INCANTO J5664 - 0.8x1200x2400mm,,บริษัท ลานนาไม้อัดไทย จำกัด,660.00,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0051,ลามิเนต Wilson Art รหัส A8827M,,บริษัท สุขสวัสดิ์ไม้อัดไทย,644.86,0,,,,,,,,,,,,,,,,,,
DF,Finishing,DF0052,"ลามิเนต 0.7mm lamitak HPL DXO 5338D 0.7x1200x2400mm (4""x8"")",,ทีเอเค โพรดัคส์ แอนด์ เซอร์วิสเซส จำกัด,1450.00,0,,,,,,,,,,,,,,,,,,
