CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DG,Consumables ,รหัส DAIJAI,รายการสินค้า,,บริษัท, ราคา ,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0001,กาวลาเท็กซ์-TOA#LA-35A สีขาว 1KG,,ดี.เค.ค้าไม้ แอนด์ ฮาร์ดแวร์ จำกัด,95.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0002,กาวตะปู MAXBOND สูตรน้ำมัน สีน้ำตาล 320g,,,107.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0003,PU โฟมสเปรย์อเนกประสงค์ 500ml. สีครีม,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),177.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0004,อะคริลิคยาแนว A-168 ซีลแลนท์ โปรไทท์ สีขาว,,เงินมาธุรกิจ จำกัด,26.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0005,อะคริลิคยาแนว A-168 ซีลแลนท์ โปรไทท์ สีโกลเด้นทีค,,เงินมาธุรกิจ จำกัด,26.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0006,"ถุงขยะ(36""x45"")-สีดำ",,อังเคิล ฟิลด์ จำกัด,42.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0007,"ถุงขยะ(45""x50"")-สีดำ",,อังเคิล ฟิลด์ จำกัด,42.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0008,ถุงมือยางธรรมชาติ-สีส้ม,,ตั้งชุงเฮงเทรดดิ้ง,25.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0009,ถุงมือนิรภัย-สีดำ-แดง,,ไม่ทราบ Supplier และ ราคา,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0010,ถุงมือผ้าทอ-สีขาวขอบเหลือง,,เสฏฐวุฒิ โคตะโน,3.30,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0011,ผ้ากันเปื้อน-,,ไม่ทราบ Supplier และ ราคา,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0012,ผ้าปิดจมูก-สีขาว,,เสฏฐวุฒิ โคตะโน,2.50,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0013,แว่นตานิรภัย-แบบเลนส์ใส,,ตั้งชุงเฮงเทรดดิ้ง,30.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0014,น้ำยาทำความสะอาดผิวสัมผัส WD-40 CONTACT CLEANER 360ML,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),275.70,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0015,น้ำมันเอนกประสงค์ WD-40 400ML.,,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0016,น้ำยาทำความสะอาดพื้นผิว-KURUMA1L,,ศิลป์เจริญ ก.ม. 27 จำกัด,115.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0017,น้ำมันอเนกประสงค์-SONAX-(500ml),,มิตรอภัย จำกัด (สาขาเลียบคลองสอง),140.19,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0018,ซิลิโคนยาแนว-ชนิดไร้กรด - สีใส -,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0019,กาวลาเท็กซ์ --- TOA#LA-35A สีขาว (10kg),,,470.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0020,กาวตะปู โปรไทท์ R-132 #PT-R-132 ,,,60.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0021,จารบี 2KG ,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0022,เศษผ้า--- - สีขาว (1kg),,,43.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0023,เศษผ้า--- - คละสี (1kg),,,42.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0024,ผ้าเย็บวน--- - คละสี (1kg),,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0025,"ผ้าทรายสายพาน 4""x24""  เบอร์ 60 ",,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0026,"ผ้าทรายสายพาน 4""x24""  เบอร์ 80",,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0027,ผ้าใบพลาสติก สีดำ 3.6mx08x40Y,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0028,ไม้กวาดทางมะพร้าว,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0029,ไม้กวาดดอกหญ้าด้ามไม้ ,,,29.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0030,ที่ตักขยะพลาสติก-สีดำ,,,20.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0031,ผ้าถูพื้น,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0032,กาวยาแนว แบบผง ถุง 1 KG,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0033,แผ่นใยขัดพิเศษ สก็อตไบร์ท,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0034,แปรงล้างห้องน้ำคละสี,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0035,แปรงขัดเอนกประสงค์ขนทองเหลือง,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0036,"เคเบิ้ลไทร์ 12"" สีขาว",,,1.30,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0037,สายรัดไฮเอ็นดำ 15mmx5kg,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0038,ข้อต่อสวมเร็วตัวเมีย แบบหางปลาไหล,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0039,ข้อต่อสวมเร็วตัวผู้ แบบหางปลาไหล,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0040,เข็มขัดรัดท่อ,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0041,"ผ้าใบฟางลาย ลายฟ้า-ขาว 72""x100Y",,,1250.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0042,สายรัดพลาสติกสีดำ,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0043,เข็มขัดพยุงหลัง เบอร์ XL,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0044,กาวยาง มอก. 3KG,,,560.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0045,กาวยาง มอก. 15KG,,บริษัท เอ็มพีพียูนิตี้โปรดักส์ จำกัด,1850.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0046,แปรงขนกระต่าย 6 ปล้อง,, บริษัทดี.เค.ค้าไม้แอนด์ฮาร์ดแวร์ จำกัด,55.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0047,กาวตะปู MAXBOND ,,,140.00,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0048,ไส้กรองเครื่อง C-TT006 กล่องแดง,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0049,ไส้กรองเครื่อง C-NSO01  กล่องเทา,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0050,น้ำมันเบรค PTN DOT-3,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0051,ไส้กรองแดง 87139-0D040,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0052,น้ำมันเบนซิน 10W-40 4L+1L  เทา,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0053,น้ำมันดีเซล 15W-40 6L เขียว,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0054,น้ำมันเบนซิน 5W-40 4L ทอง,,,,0,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0055,กาวยาง อะคริลิคแบบพ่น (ปี๊บสีฟ้า),,,,,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0056,Lobster Shield 3.5 ลิตร,,,,,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0057,แปรงขนแข็ง,,,,,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0058,กระดาษทรายสายพาน เบอร์ 240,,,,,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0059,กระดาษลูกฟูก-โครงรังผึ้ง-หนา 32x1000x1000 mm,,ตะลันต์อินเตอร์กรุ๊ป จำกัด,130.00,,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0060,กระดาษลูกฟูก-โครงรังผึ้ง-หนา 26x1000x1000 mm,,ตะลันต์อินเตอร์กรุ๊ป จำกัด,110.00,,,,,,,,,,,,,,,,,,,
DG,Consumables ,DG0061,อะคริลิคยาแนว A-168 ซีลแลนท์ โปรไทท์ สีเทา,,,,,,,,,,,,,,,,,,,,,,
