CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DH,Office Equipment,DH0001,ใบมีดคัตเตอร์18mm (18x0.05mm),,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0002,ใบมีดคัตเตอร์ (18mm)-11-921T,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0003,มีดคัตเตอร์ด้ามพลาสติก18mm,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0004,มีดคัตเตอร์ 9mm,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0005,ใบมีดคัตเตอร์ 9mm,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0006,ปากกามาร์ค 2 หัว,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0007,ปากกาเคมี 2 หัว-คละสี,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0008,ปากกาไวท์บอร์ด-คละสี,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0009,ดินสอ-สีดำ,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0010,ปากกาลูกลื่น-คละสี,,,,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0011,กาวร้อน-(20g),,,21,0,,,,,,,,,,,,,,,,,,
DH,Office Equipment,DH0012,มีดคัตเตอร์ สแตนเลสใหญ่ 18mm.,,,32.71,0,,,,,,,,,,,,,,,,,,
