CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0001,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x2x10xL65mm.,,คมการช่าง จำกัด,,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0002,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x3x20xL70mm.,,คมการช่าง จำกัด,300.00,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0003,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x4x25xL80mm.,,คมการช่าง จำกัด,350.00,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0004,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x4x40xL90mm.,,คมการช่าง จำกัด,580.00,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0005,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x7x22xL65mm.,,คมการช่าง จำกัด,,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0006,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x7x40xL90mm.,,คมการช่าง จำกัด,890.00,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0007,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x8x25xL70mm.,,คมการช่าง จำกัด,,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0008,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x10x30xL75mm.,,คมการช่าง จำกัด,280.00,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0009,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x12.7x50.8xL95mm.,,คมการช่าง จำกัด,,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0010,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x12.7x76xL117mm.,,คมการช่าง จำกัด,580.00,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0011,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x12x30xL75mm.,,คมการช่าง จำกัด,,0,,,,,,,,,,,,,,,,,,
DI,Tool &Equipment ,DI0012,อุปกรณ์ดอกเร้าเตอร์กัดตรงคาร์ไบด์แท่ง-- - - 1/2x15x75xL120mm,,คมการช่าง จำกัด,1250.00,0,,,,,,,,,,,,,,,,,,
