CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0001,"แผ่นสแตนเลส SUS 304(0.8mm)-HL/PVC - 1200x2400 (4""x8"")",,คอมไบน์เมทัลเวิร์ค จำกัด,2130.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0002,"แผ่นสแตนเลส SUS 304(1.0mm)-ผิว HL/PVC - 1200x2400 (4""x8"")",,คอมไบน์เมทัลเวิร์ค จำกัด,2590.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0003,"แผ่นสแตนเลส SUS 304(1.5mm)-ผิว HL/PVC - - 1200x2400 (4""x8"")",,คอมไบน์เมทัลเวิร์ค จำกัด,3780.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0004,"แผ่นสแตนเลส SUS 304(2.0mm)-ผิว HL/PVC - - 1200x2400 (4""x8"")",,คอมไบน์เมทัลเวิร์ค จำกัด,4990.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0005,"แผ่นสแตนเลส SUS 304(3.0mm)-ผิว HL/PVC - - 1200x2400 (4""x8"")",,คอมไบน์เมทัลเวิร์ค จำกัด,7430.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0006,"แผ่นสแตนเลส SUS 304(1.0mm)-ผิว กระจก/PVC - - 1200x2400 (4""x8"")",,คอมไบน์เมทัลเวิร์ค จำกัด,4230.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0007,"แผ่นสแตนเลส SUS 304(1.5mm)-ผิว กระจก/PVC - - 1200x2400 (4""x8"")",,คอมไบน์เมทัลเวิร์ค จำกัด,3050.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0008,"เหล็กแป๊ปกล่อง(3/4""x3/4) - 19.05x1.5x6000mm",,ประพันธ์โลหะกิจ จำกัด,160.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0009,"เหล็กแป๊ปกล่อง(1""x1"") - 25.4x1.5x6000mm",,ประพันธ์โลหะกิจ จำกัด,185.00,0,,,,,,,,,,,,,,,,,,
DJ ,Stainless steel,DJ0010,"เหล็กแป๊ปกล่อง(2""x1"") - 2.3x6000mm",,ประพันธ์โลหะกิจ จำกัด,430.00,0,,,,,,,,,,,,,,,,,,
