CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK
DK,Aluminum,DK0001,อลูมิเนียม Edge trimming 104-N-สีดำ 6x10x3000mm IMPORT#,,IMPORT,,,50,200,
DK,Aluminum,DK0002,"อลูมิเนียม Slant ""H"" Shape H136 สีดำ 4x9.5x3000mm IMPORT#",,IMPORT,,,50,200,
DK,Aluminum,DK0003,อลูมิเนียม Inter Corner 8402  สีทอง 8x4x3000mm IMPORT#,,IMPORT,,,50,200,
DK,Aluminum,DK0004,"อลูมิเนียม Slant ""H"" Shape H136 สีทอง 4x9.5x3000mm IMPORT#",,IMPORT,,,50,200,
DK,Aluminum,DK0005,อลูมิเนียม Inter Corner 8402 สีดำ 8x4x3000mm IMPORT#,,IMPORT,,,50,200,
DK,Aluminum,DK0006,อลูมิเนียมเส้น08213สีขาว6M,,โสภณพรรณ จำกัด,,,,,
DK,Aluminum,DK0007,ฝาตบรางไฟ25657สีขาว6M,,โสภณพรรณ จำกัด,,,,,
DK,Aluminum,DK0008,ฐานเฟรม 25656ไม่ชุบ6M,,โสภณพรรณ จำกัด,,,,,
DK,Aluminum,DK0009,อลูมิเนียมเส้น30410AE&A6M,,ควอซาร์ เมททอล จำกัด,,,,,
DK,Aluminum,DK0010,อลูมิเนียมเส้น25676ไม่ชุบ6M,,โสภณพรรณ จำกัด,,,,,
DK,Aluminum,DK0011,อลูมิเนียมเส้น25693ชุบขาว6M,,โสภณพรรณ จำกัด,,,,,
DK,Aluminum,DK0012,กล่องร่อง 100mm. ขา 18mm.101-100200-AS28Dark Grey2.8M,,อัลลอย โซลูชั่นส์ เอเชีย,,,,,
DK,Aluminum,DK0013,บังใบประตู45mm.Dark Grey2.8M,,อัลลอย โซลูชั่นส์ เอเชีย,,,,,
DK,Aluminum,DK0014,อลูมิเนียมเส้น25699ชุบขาว6M(จมูกบันได),,โสภณพรรณ จำกัด,,,,,
DK,Aluminum,DK0015,คิ้วอลูมิเนียม ตัวที ไม่ชุบสี2.5M,,,,,,,
DK,Aluminum,DK0016,โปรไฟล์อลูมิเนียม แอลใหญ่ สีดำ (S-29555-519) 1AL69300BL  3.1M  ,,ฟิวเจอร์เทค อินเตอร์มาร์เก็ตติ้ง จำกัด,,,,,
DK,Aluminum,DK0017,เหล็กเอชบีม 250x250x8x13mmx6m,,ประพันธ์โลหะกิจ,,,,,25
DK,Aluminum,DK0018,เหล็กไวด์แฟรงค์ 200x150x6x9mmx6m,,ประพันธ์โลหะกิจ,,,,,20
DK,Aluminum,DK0019,อลูมิเนียมเฟรมเล็ก สีน้ำตาลแฮร์ไลน์ L3100mm FI#APH44300BR3.2,,ฟิวเจอร์เทค อินเตอร์มาร์เก็ตติ้ง,,,,,
DK,Aluminum,DK0020,อลูมิเนียมเส้นประตูข้าง สี ขาวอลูมิเนียม(E&A) L6000mm KM#30441,,ควอซาร์ เมททอล,,,,,
DK,Aluminum,DK0021,อลูมิเนียม เฟรมเล็ก สีเบจด้าน 3.1M FI#APH44300BA2.2,,ฟิวเจอร์เทค อินเตอร์มาร์เก็ตติ้ง,,,,,
DK,Aluminum,DK0022,อลูมิเนียมเฟรมเล็ก+มือจับ สีเบจด้าน FI#APH47300BA2.2,,ฟิวเจอร์เทค อินเตอร์มาร์เก็ตติ้ง,,,,,
DK,Aluminum,DK0023,รางไฟอลูมิเนียมพร้อมฝาครอบ USC3000 YS# YS-1.1,,ยังซัน เอ็นเตอร์ไพร์ จำกัด,,,,,
DK,Aluminum,DK0024,รางไฟอลูมิเนียม เข้ามุมโค้งมนพร้อมฝาครอบ CP3000 YS#1.11,,ยังซัน เอ็นเตอร์ไพร์ จำกัด,,,,,
DK,Aluminum,DK0025,รางไฟ LED FLY BLACK 3000 YS#YS-1.8,,ยังซัน เอ็นเตอร์ไพร์ จำกัด,770,,,,
DK,Aluminum,DK0026,ราง อลูมิเนียมโปร์ไฟล์ 6m TRUSCO#XA-3060T-6000,,ทราสโก้ เรสโซลูชั่น จำกัด,2100,,,,
DK,Aluminum,DK0027,ราง อลูมิเนียมโปร์ไฟล์ 6m TRUSCO#XA-3030GT-6000,,ทราสโก้ เรสโซลูชั่น จำกัด,1200,,,,
