CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
DL,Electricity,DL0001,"ท่อ EMT 3/4"" Blue Eagle",,,84.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0002,"บล็อกตื้น 2x4""",,,5.50,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0003,"บล็อกตื้น 4x4""",,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0004,"แคล้มก้ามปูจับท่อเหลือง 1/2""",,,2.70,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0005,"คอนเน็กเตอร์ EMT กันน้ำ 3/4""",,,13.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0006,เต้ารับกราวด์เดี่ยว สีขาว,,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0007,ซ้ำกับ DG0036,,,1.30,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0008,สายไฟ VCT 2x2.5 TU (ขด),,สมบูรณ์การไฟฟ้า เตาปูน,1675.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0009,ปลั๊กกราวด์คู่ weg15929 PANASONIC,,สมบูรณ์การไฟฟ้า เตาปูน,90.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0010,ฝา 3 ช่อง สีขาว WEG6803 PANASONIC,,สมบูรณ์การไฟฟ้า เตาปูน,15.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0011,กล่องลอย 2x4 NANO,,สมบูรณ์การไฟฟ้า เตาปูน,8.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0012,สายไฟ VCT 4x6 mm.,,สมบูรณ์การไฟฟ้า เตาปูน,8000.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0013,ปลั๊กไฟเพาเวอร์ตัวผู้ สีแดง 32A 5 ขา,,สมบูรณ์การไฟฟ้า เตาปูน,214.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0014,โคมสปอร์ตไลท์ 200W LED Panasonic แสงขาว,,สมบูรณ์การไฟฟ้า เตาปูน,4588.79,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0015,สายไฟ VCT/GRD 4x2.5/2.5 Yazaki ยาว 100m./ม้วน,,สมบูรณ์การไฟฟ้า เตาปูน,12173.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0016,ปลั๊กเพาเวอร์ ตัวผู้ 3ขา 16A,,สมบูรณ์การไฟฟ้า เตาปูน,83.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0017,ปลั๊กเพาเวอร์ ตัวเมีย 3ขา 16A,,สมบูรณ์การไฟฟ้า เตาปูน,143.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0018,ปลั๊กเพาเวอร์ สามทาง 3ขา 16 A,,สมบูรณ์การไฟฟ้า เตาปูน,391.22,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0019,สายพลาสติกสีดำ,,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0020,BOXพลาสติกแบบฝัง 3 ช่อง สีเหลือง,,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0021,"แคล้มรัดท่อบาง 1/2""",,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0022,คลิปล็อคเหล็ก,,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0023,"แคล้มรัดท่อขาคู่ 3/4""",,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0024,"แคล้มรัดท่อขาคู่ ATC 1"" E",,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0025,BOXพลาสติกแบบฝัง 3 ช่อง + ฝาดำ,,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0026,ฝาดำ สำหรับ BOXพลาสติกแบบฝัง 3,,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0027,"คลิปก้ามปู - ร้อยสาย สีเหลือง 20mm (3/4"")",,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0028,แผ่นรองหน้ากาก 3 ช่อง Bticino#K4703 LV-NOW,,,46.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0029,หน้ากาก 4 ช่อง-สีแสตนเลส ARTDNA#A89-P08,,,395.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0030,บ็อกลอย ขอบเหลี่ยม PVC-สีขาว Nano#nano-403-1,,, -   ,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0031,ฝาครอบพลาสติก 3 ช่อง-สีขาว,,,24.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0032,สตาร์ทเตอร์ 4-65W,,,23.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0033,ฝาครอบพลาสติก 1 ช่อง-สีขาว,,,,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0034,ปลั๊กกราวด์คู่ (เต้ารับ)-สีขาว Panasonic#WEG 15929,,,130.00,,,,,,,,,,,,,,,,,,,
DL,Electricity,DL0035,ปลั๊กกราวด์คู่ (เต้ารับ)-สีขาว Bticino#KW4185T,,,,,,,,,,,,,,,,,,,,,,
