CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK
DO,Damaged item,DO0001,"ไม้ HMR4mm-เปลือย - - 1200x2400mm (4""x8"") ชำรุด",,,,,,,
DO,Damaged item,DO0002,"ไม้ HMR9mm-เปลือย - - 1200x2400mm (4""x8"") ชำรุด",,,,,,,
DO,Damaged item,DO0003,"ไม้ HMR15mm-เปลือย - - 1200x2400mm (4""x8"") ชำรุด",,,,,,,
DO,Damaged item,DO0004,"ไม้ HMR18mm-เปลือย - - 1200x2400mm (4""x8"") ชำรุด",,,,,,,
DO,Damaged item,DO0005,"ไม้ปาติเกิล PB15mm 1200x2400mm (4""x8"") ชำรุด",,,,,,,
DO,Damaged item,DO0006,"ไม้ปาติเกิล PB25mm 1200x2400mm (4""x8"") ชำรุด",,,,,,,
DO,Damaged item,DO0007,"ไม้พลาสวู้ด PlassWood12mm-เปลือย - - 1200x2400mm (4""x8"") ชำรุด",,,,,,,
DO,Damaged item,DO0008,"ไม้อัดยาง PW20mm-เปลือย - - 1200x2400mm (4""x8"") ชำรุด",,,,,,,
DO,Damaged item,DO0009,"ไม้อัดยางดัดโค้ง PW6mm-เปลือย1200x2400mm (4""x8"") ลายขวาง ชำรุด",,,,,,,
DO,Damaged item,DO0010,"ลามิเนต 0.8mm Greenlam-HPL- H-GWB5005-408-008-0.8x1200x2400mm (4""x8"")",,บริษัท พอร์ท 09 จำกัด,887.85,,,,
