CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
BW,FG,BW0001,"ผนัง แผ่นPlaswood 9mm ฟิล์ม 67-102 1100x2800(4""x9"") #Import",,Import,2121.49,1,,,0,,,,,,,,,,,,,,,
BW,FG,BW0002,"ผนัง แผ่นPlaswood 9mm ฟิล์ม FM31009 1100x2800(4""x9"") #Import",,Import,2536.94,1,,,0,,,,,,,,,,,,,,,
BW,FG,BW0003,BurgerWall HDFโฟม50mm-พร้อมส่ง - (1196x3000x50),,พี่.ยู.โฟม อินซูเลชัน แอนด์ เทรดดิ้ง จำกัด,,1,,,0,,,,,,,,,,,,,,,
BW,FG,BW0004,BurgerWall HDFโฟม50mm-รอตัด+รอเดินร่อง - - (1210x3000x50),,พี่.ยู.โฟม อินซูเลชัน แอนด์ เทรดดิ้ง จำกัด,,1,,,0,,,,,,,,,,,,,,,
BW,FG,BW0005,BurgerWall HDFโฟม50mm-รอตัด+รอเดินร่อง - - (1210x2040x50),,พี่.ยู.โฟม อินซูเลชัน แอนด์ เทรดดิ้ง จำกัด,,1,,,0,,,,,,,,,,,,,,,
BW,FG,BW0006,BurgerWall SPCโฟม50mm-พร้อมส่ง - (50x900x2400mm),,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0007,BurgerWall SPCโฟม50mm-พร้อมส่ง - (50x900x3000mm),,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0008,BurgerWall SPCโฟม100mm-พร้อมส่ง - (100x1196x3000mm),,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0009,BurgerWall SPCโฟม50mm-รอตัด+รอเดินร่อง - (50x910x3000mm),,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0010,BurgerWall ฝังบ็อก HDFโฟม50mm-พร้อมส่ง - (50x1196x3000mm),,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0011,BurgerWall ฝังบ็อก HDFโฟม50mm-รอตัด+รอเดินร่อง - (50x1196x3000mm),,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0012,BurgerWall HMRโฟม50mm-รอตัด+รอเดินร่อง - (50x1210x2400mm),,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0013,BurgerWall HMRโฟม100mm-รอตัด+รอเดินร่อง - (50x1210x2400mm),,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0014,BurgerWall สับเสียง SPCโฟม50mm - (50x950x2436mm) ,,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0015,BurgerWall สับเสียง SPCโฟม50mm - (50x950x2460mm) ,,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0016,BurgerWall สับเสียง SPCโฟม50mm - (50x950x2560mm) ,,,,,,,0,,,,,,,,,,,,,,,
BW,FG,BW0017,BurgerWall ลอนHMR15 พ่นสีขาว - (15x800x1200mm) ,,,,,,,,,,,,,,,,,,,,,,
BW,FG,BW0018,ประตู UPVC สีขาว บานเรียบ 1300x2060mm,,แมนสุขภัณฑ์ (1999) จำกัด,5170.00,,,,,,,,,,,,,,,,,,,
BW,FG,BW0019,"ผนัง แผ่นPlaswood 9mm ฟิล์ม 67-102 1100x2700(4""x9"") #Import",,,,,,,,,,,,,,,,,,,,,,
BW,FG,BW0020,"ผนัง แผ่นPlaswood 9mm ฟิล์ม FM31009 1100x2600(4""x8.6"") #Import",,,,,,,,,,,,,,,,,,,,,,
BW,FG,BW0021,"ผนัง แผ่นPlaswood 9mm ฟิล์ม FM31009 1100x2500(4""x8.3"") #Import",,,,,,,,,,,,,,,,,,,,,,
BW,FG,BW0022,ผนัง แผ่นไม้ 20mm สีดำ (หน้าเรียบ-ปัดเสี้ยน) (20x140x2000mm) โซลูเมท#WWH-06(C),กลับจาก หน้างาน กิติเมธี,,,,,,,,,,,,,,,,,,,,,
