CSLUG,CTITLE,SLUG,TITLE,SUBTITLE,SUPPLIER,DEFAULT_PRICE,IS_FG,MIN,MAX,STOCK,,,,,,,,,,,,,,,
LF,FG,LF0001,ตู้เย็นใหญ่-- WHITE  BRB260 จีน 575x560x1292mm,,จีน,,1,,,0,,,,,,,,,,,,,,,
LF,FG,LF0002,ตู้ลิ้นชัก--- WHITE MO-12B 350x500x600mm,,จีน,,1,,,0,,,,,,,,,,,,,,,
LF,FG,LF0003,เก้าอี้ สำนักงาน --- BLACK 19-004 จีน -,,จีน,1004.00,1,,,0,,,,,,,,,,,,,,,
LF,FG,LF0004,ตู้เย็นเล็ก-- BLACK BCH-45B (40L) จีน (210x200x190mm),,จีน,,1,,,0,,,,,,,,,,,,,,,
LF,FG,LF0005,เซ็ตพาร์ทิชั่นพร้อมโซฟา --- - จีน (2390x1298x1500mm),21075,จีน,37555.32,1,,,0,,,,,,,,,,,,,,,
LF,FG,LF0006,ขาโต๊ะกลมแหวนไทเทเนี่ยมท่อขนาดใหญ่และขนาดเล็ก,POI230518-00223020 - Miracle Grand,จีน,1123.32,,,,0,,,,,,,,,,,,,,,
LF,FG,LF0007,ขาโต๊ะกลมเหล็กกล้าคาร์บอนกึ่งกระบอก,POI230518-00223020 - Miracle Grand,จีน,1010.98,,,,0,,,,,,,,,,,,,,,
LF,FG,LF0008,ขาโต๊ะกลมโต๊ะเจรจากึ่งกระบอก,POI230518-002,จีน,1684.98,,,,0,,,,,,,,,,,,,,,
LF,FG,LF0009,ขาโต๊ะกลมฮอร์นคอเจรจา กรอบโต๊ะ,POI230518-002,จีน,3819.29,,,,0,,,,,,,,,,,,,,,
LF,FG,LF0010,ขาโต๊ะกลมทรงทรงกรวย,POI230518-002,จีน,1797.31,,,,0,,,,,,,,,,,,,,,
LF,FG,LF0011,ขาโต๊ะกลมกระบอกกรวยสี Xiaoman,POI230518-002,จีน,2078.14,,,,0,,,,,,,,,,,,,,,
LF,FG,LF0012,ขาโต๊ะกลมเจรจาทรงกระบอก YS8001#สองสี,POI230518-002,จีน,1853.48,,,,0,,,,,,,,,,,,,,,
LF,FG,LF0013,ขาโต๊ะกลมสีสัมผัส Conebarrel,POI230518-002,จีน,2358.97,,,,0,,,,,,,,,,,,,,,
